0.08163	0.42094	-0.30789	0.10332	0.21627	0.15462	-0.14008	-1.25021	-1.35105	-2.97137	-1.53218	-2.58647	-4.52609
0.07483	0.42027	-0.32124	0.09305	0.22181	0.15525	-0.14813	-1.24002	-1.35262	-2.99673	-1.54614	-2.62977	-4.57947
0.06597	0.41865	-0.33269	0.08086	0.22849	0.15201	-0.15404	-1.22886	-1.35607	-3.02099	-1.55962	-2.67401	-4.63307
0.05548	0.41624	-0.34192	0.06691	0.23634	0.14509	-0.15743	-1.21693	-1.36112	-3.04372	-1.57267	-2.71862	-4.68587
0.04393	0.41321	-0.34867	0.05131	0.24534	0.13485	-0.15817	-1.20438	-1.36760	-3.06455	-1.58558	-2.76298	-4.73707
0.03189	0.40966	-0.35279	0.03424	0.25531	0.12162	-0.15629	-1.19119	-1.37537	-3.08313	-1.59871	-2.80657	-4.78608
0.01999	0.40565	-0.35424	0.01597	0.26589	0.10556	-0.15200	-1.17713	-1.38429	-3.09933	-1.61240	-2.84906	-4.83264
0.00878	0.40120	-0.35304	-0.00317	0.27663	0.08661	-0.14560	-1.16190	-1.39414	-3.11335	-1.62698	-2.89040	-4.87692
-0.00136	0.39633	-0.34924	-0.02281	0.28706	0.06484	-0.13753	-1.14506	-1.40462	-3.12555	-1.64286	-2.93080	-4.91930
-0.01018	0.39108	-0.34294	-0.04250	0.29674	0.04052	-0.12828	-1.12595	-1.41536	-3.13624	-1.66027	-2.97064	-4.96025
-0.01751	0.38549	-0.33429	-0.06169	0.30537	0.01403	-0.11828	-1.10392	-1.42598	-3.14568	-1.67910	-3.01023	-5.00023
-0.02326	0.37964	-0.32347	-0.07985	0.31283	-0.01416	-0.10790	-1.07846	-1.43620	-3.15405	-1.69898	-3.04970	-5.03944
-0.02743	0.37367	-0.31059	-0.09649	0.31921	-0.04351	-0.09747	-1.04942	-1.44575	-3.16141	-1.71965	-3.08905	-5.07790
-0.03010	0.36781	-0.29573	-0.11119	0.32474	-0.07326	-0.08736	-1.01708	-1.45437	-3.16775	-1.74109	-3.12819	-5.11555
